sample,treatment,P_temp,O_temp,OD450,abs_amount,concentration,rel_amount
H08,P21O21,P21,O21,0.031,6.176,7.26,6.805509642
H09,P21O21,P21,O21,0.03,5.976,18.75,2.54976
H11,P18O21,P18,O21,0.015,2.976,13.08,1.820183486
H12,P18O21,P18,O21,0.029,5.776,11.71,3.946029035
H15,P18O21,P18,O21,0.023,4.576,6.65,5.504962406
H16,P17O17,P17,O17,0.019,3.776,14.03,2.153100499
H18,P17O17,P17,O17,0.012,2.376,21.44,0.886567164
H19,P17O17,P17,O17,0.016,3.176,12.52,2.029392971
H21,P17O17,P17,O17,0.025,4.976,8.05,4.945093168
H23,P17O18,P17,O18,0.025,4.976,16.17,2.461842919
H24,P17O18,P17,O18,0.023,4.576,14.78,2.476860622
H25,P17O18,P17,O18,0.029,5.776,10.32,4.47751938
H26,P17O18,P17,O18,0.023,4.576,12.91,2.835631294
H27,P17O18,P17,O18,0.027,5.376,16.3,2.638527607
H28,P17O21,P17,O21,0.03,5.976,11.88,4.024242424
H29,P17O21,P17,O21,0.029,5.776,21.13,2.186843351
H30,P17O21,P17,O21,0.036,7.176,23.68,2.424324324
H31,P17O21,P17,O21,0.032,6.376,13.3,3.83518797
H32,P17O21,P17,O21,0.034,6.776,16.87,3.213278008
H33,P17O21,P17,O21,0.036,7.176,14.06,4.083072546
H34,P17O17,P17,O17,0.03,5.976,17.02,2.80893067
H35,P18O17,P18,O17,0.025,4.976,18.59,2.141366326
H36,P18O17,P18,O17,0.022,4.376,7.54,4.642970822
H37,P18O17,P18,O17,0.027,5.376,6.62,6.496676737
H38,P18O17,P18,O17,0.033,6.576,22.19,2.370797657
H39,P18O17,P18,O17,0.026,5.176,10.04,4.124302789
H40,P18O17,P18,O17,0.042,8.376,18.81,3.562360447
H41,P18O18,P18,O18,0.025,4.976,24.8,1.60516129
H42,P18O18,P18,O18,0.026,5.176,14.34,2.887587169
H43,P18O18,P18,O18,0.03,5.976,16.65,2.871351351
H44,P18O18,P18,O18,0.018,3.576,7.97,3.589460477
H45,P18O18,P18,O18,0.032,6.376,9.45,5.397671958
H47,P21O17,P21,O17,0.031,6.176,14.62,3.379480164
H48,P21O17,P21,O17,0.003,0.576,24.09,0.19128269
H49,P21O17,P21,O17,0.021,4.176,11.51,2.902519548
H50,P21O17,P21,O17,0.028,5.576,18.25,2.444273973
H53,P21O18,P21,O18,0.008,1.576,15.4,0.818701299
H55,P21O18,P21,O18,0.023,4.576,15.51,2.360283688
H56,P21O18,P21,O18,0.024,4.776,12.3,3.106341463
H57,P21O18,P21,O18,0.017,3.376,13.84,1.951445087
H58,P21O18,P21,O18,0.033,6.576,22.51,2.337094625
